Date : 2025-01-24 16:19:33
Directory : c:\Users\hondak\projects\cline-test-app
Total : 2269 files,  426690 codes, 33148 comments, 76896 blanks, all 536734 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\pyproject_hooks\_compat.py                                        | Python           |          6 |          0 |          3 |          9 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py                                          | Python           |        258 |          4 |         69 |        331 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__init__.py                           | Python           |         14 |          1 |          4 |         19 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py                        | Python           |        274 |          6 |         74 |        354 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\__init__.py                                              | Python           |        128 |         21 |         34 |        183 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\__version__.py                                           | Python           |         10 |          3 |          2 |         15 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\_internal_utils.py                                       | Python           |         38 |          0 |         11 |         49 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\adapters.py                                              | Python           |        466 |         17 |        102 |        585 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\api.py                                                   | Python           |        117 |          3 |         38 |        158 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\auth.py                                                  | Python           |        223 |         27 |         66 |        316 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\certs.py                                                 | Python           |         17 |          1 |          7 |         25 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\compat.py                                                | Python           |         44 |         12 |         12 |         68 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\cookies.py                                               | Python           |        439 |         12 |        111 |        562 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\exceptions.py                                            | Python           |         82 |          1 |         59 |        142 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\help.py                                                  | Python           |        109 |          0 |         23 |        132 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\hooks.py                                                 | Python           |         23 |          1 |         10 |         34 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\models.py                                                | Python           |        737 |        114 |        184 |      1,035 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\packages.py                                              | Python           |          8 |          5 |          4 |         17 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\sessions.py                                              | Python           |        564 |        114 |        154 |        832 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\status_codes.py                                          | Python           |        112 |          4 |         13 |        129 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\structures.py                                            | Python           |         67 |          5 |         28 |        100 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\requests\utils.py                                                 | Python           |        766 |         86 |        235 |      1,087 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\__init__.py                                            | Python           |         23 |          0 |          4 |         27 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\compat\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\compat\collections_abc.py                              | Python           |          5 |          0 |          2 |          7 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\providers.py                                           | Python           |        105 |          0 |         29 |        134 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\reporters.py                                           | Python           |         31 |          0 |         13 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\resolvers.py                                           | Python           |        360 |         29 |         94 |        483 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\resolvelib\structs.py                                             | Python           |        122 |          0 |         44 |        166 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\__init__.py                                                  | Python           |        142 |          3 |         33 |        178 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\__main__.py                                                  | Python           |        234 |          2 |         39 |        275 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_cell_widths.py                                              | Python           |        449 |          1 |          2 |        452 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py                                              | Python           |      3,610 |          0 |          1 |      3,611 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_emoji_replace.py                                            | Python           |         25 |          0 |          8 |         33 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_export_format.py                                            | Python           |         70 |          0 |          9 |         79 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_extension.py                                                | Python           |          6 |          1 |          4 |         11 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_inspect.py                                                  | Python           |        227 |          4 |         40 |        271 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_log_render.py                                               | Python           |         81 |          0 |         14 |         95 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_loop.py                                                     | Python           |         36 |          0 |          8 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_null_file.py                                                | Python           |         55 |          1 |         28 |         84 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_palettes.py                                                 | Python           |        301 |          3 |          6 |        310 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_pick.py                                                     | Python           |         13 |          0 |          5 |         18 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_ratio.py                                                    | Python           |        122 |         12 |         27 |        161 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_spinners.py                                                 | Python           |        481 |          0 |          2 |        483 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_stack.py                                                    | Python           |         11 |          0 |          6 |         17 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_timer.py                                                    | Python           |         14 |          0 |          6 |         20 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_win32_console.py                                            | Python           |        527 |          4 |        132 |        663 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_windows.py                                                  | Python           |         55 |          1 |         17 |         73 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_windows_renderer.py                                         | Python           |         52 |          0 |          5 |         57 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\_wrap.py                                                     | Python           |         46 |          0 |         11 |         57 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\abc.py                                                       | Python           |         22 |          0 |         12 |         34 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\align.py                                                     | Python           |        270 |          4 |         38 |        312 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\ansi.py                                                      | Python           |        198 |          6 |         34 |        238 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\bar.py                                                       | Python           |         71 |          5 |         19 |         95 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\box.py                                                       | Python           |        418 |         11 |         89 |        518 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\cells.py                                                     | Python           |        117 |          4 |         34 |        155 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\color.py                                                     | Python           |        541 |          3 |         75 |        619 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\color_triplet.py                                             | Python           |         30 |          0 |          9 |         39 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\columns.py                                                   | Python           |        166 |          1 |         21 |        188 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\console.py                                                   | Python           |      2,228 |         15 |        370 |      2,613 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\constrain.py                                                 | Python           |         29 |          0 |          9 |         38 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\containers.py                                                | Python           |        139 |          0 |         29 |        168 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\control.py                                                   | Python           |        180 |          1 |         45 |        226 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\default_styles.py                                            | Python           |        179 |          0 |         10 |        189 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\diagnose.py                                                  | Python           |         30 |          0 |          8 |         38 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\emoji.py                                                     | Python           |         70 |          0 |         27 |         97 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\errors.py                                                    | Python           |         18 |          0 |         17 |         35 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\file_proxy.py                                                | Python           |         45 |          0 |         10 |         55 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\filesize.py                                                  | Python           |         70 |          1 |         19 |         90 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\highlighter.py                                               | Python           |        151 |         37 |         45 |        233 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\json.py                                                      | Python           |        123 |          0 |         18 |        141 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\jupyter.py                                                   | Python           |         77 |          2 |         23 |        102 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\layout.py                                                    | Python           |        358 |          0 |         86 |        444 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\live.py                                                      | Python           |        319 |          6 |         49 |        374 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\live_render.py                                               | Python           |         95 |          0 |         19 |        114 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\logging.py                                                   | Python           |        253 |          4 |         33 |        290 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\markup.py                                                    | Python           |        197 |          3 |         47 |        247 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\measure.py                                                   | Python           |        126 |          0 |         26 |        152 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\padding.py                                                   | Python           |        121 |          0 |         21 |        142 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\pager.py                                                     | Python           |         23 |          0 |         12 |         35 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\palette.py                                                   | Python           |         82 |          1 |         18 |        101 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\panel.py                                                     | Python           |        277 |          0 |         32 |        309 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\pretty.py                                                    | Python           |        884 |         24 |        122 |      1,030 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\progress.py                                                  | Python           |      1,438 |         10 |        260 |      1,708 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\progress_bar.py                                              | Python           |        193 |          1 |         31 |        225 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\prompt.py                                                    | Python           |        295 |          0 |         82 |        377 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\protocol.py                                                  | Python           |         31 |          1 |         11 |         43 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\region.py                                                    | Python           |          7 |          0 |          4 |         11 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\repr.py                                                      | Python           |        116 |          0 |         34 |        150 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\rule.py                                                      | Python           |        112 |          1 |         22 |        135 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\scope.py                                                     | Python           |         73 |          0 |         14 |         87 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\screen.py                                                    | Python           |         44 |          0 |         11 |         55 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\segment.py                                                   | Python           |        624 |          1 |        115 |        740 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\spinner.py                                                   | Python           |        115 |          0 |         22 |        137 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\status.py                                                    | Python           |        113 |          0 |         20 |        133 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\style.py                                                     | Python           |        675 |          2 |         97 |        774 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\styled.py                                                    | Python           |         31 |          0 |         12 |         43 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\syntax.py                                                    | Python           |        826 |         13 |        107 |        946 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\table.py                                                     | Python           |        878 |          4 |        121 |      1,003 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\terminal_theme.py                                            | Python           |        143 |          0 |         11 |        154 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\text.py                                                      | Python           |      1,121 |          5 |        186 |      1,312 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\theme.py                                                     | Python           |         88 |          0 |         25 |        113 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\themes.py                                                    | Python           |          3 |          0 |          3 |          6 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\traceback.py                                                 | Python           |        583 |         14 |         81 |        678 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\rich\tree.py                                                      | Python           |        215 |          1 |         36 |        252 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\six.py                                                            | Python           |        755 |         53 |        191 |        999 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\__init__.py                                              | Python           |        377 |         41 |        102 |        520 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py                                              | Python           |         61 |         18 |         14 |         93 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\_utils.py                                                | Python           |         39 |         19 |         11 |         69 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\after.py                                                 | Python           |         21 |         15 |         11 |         47 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\before.py                                                | Python           |         16 |         15 |         11 |         42 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\before_sleep.py                                          | Python           |         31 |         15 |         13 |         59 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\nap.py                                                   | Python           |         16 |         18 |         10 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\retry.py                                                 | Python           |        156 |         18 |         67 |        241 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\stop.py                                                  | Python           |         49 |         15 |         33 |         97 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\tornadoweb.py                                            | Python           |         37 |         13 |         10 |         60 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tenacity\wait.py                                                  | Python           |        155 |         16 |         62 |        233 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tomli\__init__.py                                                 | Python           |          4 |          4 |          4 |         12 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tomli\_parser.py                                                  | Python           |        534 |         46 |        112 |        692 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tomli\_re.py                                                      | Python           |         87 |          6 |         15 |        108 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\tomli\_types.py                                                   | Python           |          4 |          4 |          3 |         11 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\typing_extensions.py                                              | Python           |      1,629 |        145 |        436 |      2,210 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\__init__.py                                               | Python           |         72 |         15 |         16 |        103 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\_collections.py                                           | Python           |        252 |         19 |         67 |        338 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\_version.py                                               | Python           |          1 |          1 |          1 |          3 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\connection.py                                             | Python           |        420 |         52 |         96 |        568 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py                                         | Python           |        825 |        108 |        178 |      1,111 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py                             | Python           |         24 |          0 |         13 |         37 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py                      | Python           |        414 |          9 |         97 |        520 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\low_level.py                     | Python           |        285 |         51 |         62 |        398 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\appengine.py                                      | Python           |        244 |         14 |         57 |        315 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py                                       | Python           |        104 |          7 |         20 |        131 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py                                      | Python           |        389 |         25 |        105 |        519 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py                                | Python           |        646 |        134 |        142 |        922 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py                                          | Python           |        167 |          7 |         43 |        217 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\exceptions.py                                             | Python           |        183 |         10 |        131 |        324 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\fields.py                                                 | Python           |        212 |          5 |         58 |        275 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\filepost.py                                               | Python           |         70 |          0 |         29 |         99 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py                            | Python           |         47 |          1 |          4 |         52 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\packages\six.py                                           | Python           |        805 |         53 |        219 |      1,077 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py                                            | Python           |        402 |         33 |        103 |        538 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\request.py                                                | Python           |        135 |          0 |         36 |        171 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\response.py                                               | Python           |        669 |         79 |        132 |        880 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py                                          | Python           |         46 |          1 |          3 |         50 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\connection.py                                        | Python           |        100 |         18 |         32 |        150 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py                                             | Python           |         43 |          4 |         11 |         58 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\queue.py                                             | Python           |         14 |          1 |          8 |         23 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\request.py                                           | Python           |        103 |          6 |         29 |        138 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\response.py                                          | Python           |         64 |         20 |         24 |        108 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\retry.py                                             | Python           |        469 |         29 |        123 |        621 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py                                              | Python           |        352 |         59 |         85 |        496 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py                                | Python           |         99 |         37 |         24 |        160 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py                                      | Python           |        178 |          2 |         42 |        222 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py                                           | Python           |        197 |         12 |         60 |        269 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\url.py                                               | Python           |        320 |         37 |         79 |        436 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\urllib3\util\wait.py                                              | Python           |         89 |         38 |         26 |        153 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\webencodings\__init__.py                                          | Python           |        249 |         14 |         80 |        343 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\webencodings\labels.py                                            | Python           |        223 |          2 |          7 |        232 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\webencodings\mklabels.py                                          | Python           |         40 |          2 |         18 |         60 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\webencodings\tests.py                                             | Python           |        123 |          2 |         29 |        154 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pip\_vendor\webencodings\x_user_defined.py                                    | Python           |        292 |          7 |         27 |        326 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\__init__.py                                                     | Python           |      2,478 |        163 |        656 |      3,297 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\appdirs.py                                              | Python           |        493 |         27 |         89 |        609 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\__init__.py                         | Python           |         31 |          0 |          6 |         37 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_adapters.py                        | Python           |        126 |          0 |         45 |        171 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_common.py                          | Python           |         71 |         12 |         22 |        105 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_compat.py                          | Python           |         69 |          6 |         24 |         99 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_itertools.py                       | Python           |         28 |          3 |          5 |         36 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\pkg_resources\_vendor\importlib_resources\_legacy.py                          | Python           |         93 |          1 |         28 |        122 |
